functions,key steps,requirement,potential failure mode,potential effect(s) of failure,sev,class,diversity,potential cause(s) of failure,current design - controls prevention,current design occur,current design -controls detection,current design - detection,rpn,recommended action,responsibility &target completion date,action results - action taken&  completion date,action results - sev,action results - occur,action results -detec,action results - rpn,quality gate,remarks,iqf number
panel trim door rr rh asm,grommet,completely fix of rr door trim grommet,partial fix of rr door trim grommet,"1,part falldown",5,,,operator not follow the work instruction (ensure the click sound),operator training,3,visual inspection,8,120,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5,3,5,75,,,
panel trim door rr rh asm,fasteners,proper fix of rr door trim fastener,partial fitment ,"1. poor aesthitic ( more gap)
2.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3,visual inspection,8,144,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6,3,5,90,,,
panel trim door rr rh asm,fasteners,,over tightened,"1. poor aesthitic ( more gap and flush)
2.screw and grommet broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3,visual inspection,8,144,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6,3,5,90,,,
transmitter levelling control headlamp,knob,completely fixing of head lamp actuator knob,partial fixing of head lamp actuator knob,"1. rattle noise
2.part falldown",5,,,operator not follow the work instruction (ensure to hear click sound),operator training,3,visual inspection ,8,120,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5,3,5,75,,,
multifunction ctrl block,hvac ctrl,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1,no diversity,1,5,,,,,,,,,,154
multifunction ctrl block,hvac ctrl,completely fix of bourdon cable,partial fix of bourden cable,"1.poor ac flow
",5,,,operator not follow the work instruction,operator training and orientation mark ,3,visual inspection,8,120,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5,3,5,75,available,,
multifunction ctrl block,hvac ctrl,completely fix of hvac ctrl connector,partial fixing of hvac ctrl connector,functional failure and rattle noise,5,,,operator not follow the work instruction (ensure to hear click sound),operator training,3,visual inspection,8,120,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5,3,5,75,,,
multifunction ctrl block,fasteners,completely fix of hvac ctrl fastener,partial fitment ,"1. rattle noise
2.part falldown
3. poor aesthitic",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3,visual inspection,8,144,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6,3,5,90,,,
multifunction ctrl block,fasteners,,over tightened,"1. poor aesthitic ( more gap and flush)
2.screw and metal clip broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3,visual inspection,8,144,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6,3,5,90,,,
hand brake gaiter on hand lever, hand brake bezel,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1,no diversity,1,5,,,,,,,,,,154
hand brake gaiter on hand lever, hand brake bezel,proper fixing of hand brake bezel,improper fixing( partially fitted),"1.clip broken
2.part fall down
3.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3,visual inspection,4,60,,,,,,,,,,
ens lh frt seat,fr seat,correct selection of part,wrong selection,"1,variant mismatch.",6,,yes,identification mark not available,select the right part,3,visual inspection,7,126,identification mark provided in part,design team (ramachandran; manoranjan) vrs1,,6,4,4,96,,,154
ens lh frt seat,fr seat,comletely fixing of fr seat,partial fixing of fr seat,"1. abnormal track movement
2.irregular seat recliner lock
3. creek noise
4.fastener damage",9,er4,,operator not follow the work instruction (ensure to hear click sound),".operator training
",3,"1.visual inspection
",8,216,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8,3,4,96,,,
ens lh frt seat,fr seat,completely fixing of fr buckle connector,partial fitment ,functional failure and rattle noise,9,er4,,operator not follow the work instruction (ensure to hear click sound),"1.operator training
2.ensure with click sound",3,"1.visual inspection
2.secondary verification with paint mark
3. push and pull test",8,216,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8,3,4,96,,,
ens lh frt seat,fr seat,proper fix of odc connector,partial fitment ,functional failure and rattle noise,9,er4,,operator not follow the work instruction (ensure to hear click sound),"1.operator training
2.ensure with click sound",3,"1.visual inspection
2.secondary verification with paint mark
3. push and pull test",8,216,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8,3,4,96,,,
ens lh frt seat,fasteners,proper fixing of fr seat bolt,partial fitment ,"1. abnormal track movement
2.irregular seat recliner lock
3. creek noise
4.fastener damage",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",3,"1. using torque wrench after fastening
2. secondary verification with paint marking",8,216,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8,3,4,96,available,,
ens lh frt seat,fasteners,,over tightened,"1.fastener broken
2.abnormal track movement",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",3,"1. using torque wrench after fastening
2. secondary verification with paint marking",8,216,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8,3,4,96,available,,
seatbelt remind telltale box mechatronic,fasteners,proper fixing of fr seat bolt,partial fitment ,"1. abnormal track movement
2.irregular seat recliner lock
3. creek noise
4.fastener damage",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",3,"1. using torque wrench after fastening
2. secondary verification with paint marking",8,216,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8,3,4,96,available,,
seatbelt remind telltale box mechatronic,fasteners,,over tightened,"1.fastener broken
2.abnormal track movement",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",3,"1. using torque wrench after fastening
2. secondary verification with paint marking",8,216,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8,3,4,96,available,,
grab handle,fr inside handle,correct selection of part,wrong selection,"1,variant mismatch.",5,,no,identification mark not available,part identification sheet and operator training,3,visual inspection,7,105,,,,,,,,,,154
grab handle,fr inside handle,completely fix of inside hadle cable hook,partial fix of inside hadle cable hook,"1. functional failure
2.rattle noise",5,iqx,,operator not follow the work instruction,operator training,3,visual inspection,8,120,quality process sheet / key point addedin process sheet,industrialization team (suresh/arunkumar) & wk-38,12/6/2021 0:00,5,3,5,75,cc21/ga/fn-1511,,
grab handle,fr inside handle,completely fix of inside handle in rr door trim,partial fix of inside handle in rr door trim,"1.poor aesthitic
2.rattle noise",5,iqx,,operator not follow the work instruction (ensure the click sound),operator training,3,visual inspection,8,120,quality process sheet / key point addedin process sheet,industrialization team (suresh/arunkumar) & wk-38,12/6/2021 0:00,5,3,5,75,cc21/ga/fn-1511,,
grab handle,grommet,completely fix of inside handle  grommet,partial fixing of inside handle  grommet,1.part falldown,5,,,operator not follow the work instruction (ensure the click sound),operator training,3,visual inspection,8,120,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5,3,5,75,,,
grab handle,fasteners,proper fix of inside handle fastener,partial fitment ,"1. poor aesthitic ( more gap)
2.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3,visual inspection,8,144,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6,3,5,90,,,
grab handle,fasteners,,over tightened,"1. poor aesthitic ( more gap and flush)
2.screw and metal clip broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3,visual inspection,8,144,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6,3,5,90,,,
handle ext door lh,fr door trim,correct selection of part,wrong selection,"1,variant mismatch.",5,,no,identification mark not available,operator training,3,visual inspection,8,120,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5,3,5,75,,,154
handle ext door lh,fr door trim,completely fix of fr door trim,partial fix of fr door trim,"1,clip broken
2, poor aesthitic (more gap)
3, part falldown",5,iqx,,operator not follow the work instruction (ensure to hear click sound),operator training,3,visual inspection,8,120,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5,3,5,75,cc21/ga/fn-1600,,
handle ext door lh,grommet,completely fix of fr door trim grommet,partial fix of fr door trim grommet,"1,part falldown",5,,,operator not follow the work instruction (ensure the click sound),operator training,3,visual inspection,8,120,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5,3,5,75,,,
handle ext door lh,fasteners,proper fix of fr door trim fastener,partial fitment ,"1. poor aesthitic ( more gap)
2.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3,visual inspection,8,144,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6,3,5,90,,,
handle ext door lh,fasteners,,over tightened,"1. poor aesthitic ( more gap and flush)
2.screw and grommet broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3,visual inspection,8,144,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6,3,5,90,,,
cover fixing facia panel lh,console cover,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1,no diversity,1,5,alc code need  to be provided,design team (sabit shaikh; sandeep) & vrs 2.1,,,,,,,,154
cover fixing facia panel lh,console cover,completely fixing of console cover,partialy fixing of console cover,"1.clip broken
2.part fall down
3.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3,visual inspection,4,60,,,,,,,,,,
panel trim door rr lh asm,dr pull cup,correct selection of part,wrong selection,"1,variant mismatch.",5,,,identification mark not available,select the right part,3,visual inspection,7,105,identification mark provided in part,design team (sabit shaikh; sandeep) & vrs1,,5,4,4,80,,,154
panel trim door rr lh asm,dr pull cup,completely fixing of pwr wdw sw in pull cup ,partial fixing,"1.part fall down
2.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3,visual inspection,8,120,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5,3,5,75,,,
panel trim door rr lh asm,dr pull cup,completely fixing of pull cup,partial fixing,"1.clip broken
2.part fall down
3.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3,visual inspection,8,120,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5,3,5,75,,,
panel trim door rr lh asm,fasteners,completely fix of pull cup fasteners,partial fitment ,"1. poor aesthitic ( more gap)
2.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3,visual inspection,8,144,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6,3,5,90,,,
panel trim door rr lh asm,fasteners,,over tightened,"1. poor aesthitic ( more gap and flush)
2.screw and grommet broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3,visual inspection,8,144,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6,3,5,90,,,
panel trim door rr lh asm,screw cap,completely fix of screw cap,partial fixing,"1.part fall down
2.poor aesthtic",5,,,operator not follow the work instruction,operator training,3,visual inspection,8,120,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5,3,5,75,,,
panel trim door rh asm,psgr pull cup,correct selection of part,wrong selection,"1,variant mismatch.",5,,,identification mark not available,select the right part,3,visual inspection,7,105,identification mark provided in part,design team (sabit shaikh; sandeep) & vrs1,,5,4,4,80,,,154
panel trim door rh asm,psgr pull cup,completely fixing of pwr wdw sw in pull cup ,partial fixing,"1.part fall down
2.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3,visual inspection,8,120,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5,3,5,75,,,
panel trim door rh asm,psgr pull cup,completely fixing of pull cup,partial fixing,"1.clip broken
2.part fall down
3.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3,visual inspection,8,120,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5,3,5,75,,,
panel trim door rh asm,fasteners,completely fix of pull cup fasteners,partial fitment ,"1. poor aesthitic ( more gap)
2.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3,visual inspection,8,144,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6,3,5,90,,,
panel trim door rh asm,fasteners,,over tightened,"1. poor aesthitic ( more gap and flush)
2.screw and grommet broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3,visual inspection,8,144,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6,3,5,90,,,
